ID,tip_r,indentation_depth,specimen_E,specimen_n,yield_stress,slope,slope_2,slope_3,work_total,work_elastic,work_plastic,work_ratio,curvature,curvature_linear,curvature_shift,h_ratio,norm_curvature,norm_curvature_linear,norm_curvature_shift,norm_slope,curvature_200,curvature_200_norm,curvature_200_norm_linear,curvature_200_norm_shift,work_total_trapz,work_elastic_trapz,work_plastic_trapz,work_ratio_trapz,alpha,exp,alpha_norm,exp_norm
7700,0.265,0.23,16113.0,0.487,37.98,8891.404582140067,8649.501866937364,8900.706369504273,39.45889646660001,13.84060447600019,25.618291990599822,0.6492399505466259,7554.3091770664305,414.6860851739262,-4.478078833044059,0.26899999999999996,0.8219295246346406,0.19616948128285572,-0.00921034389921677,4.186100852598924,7881.58242426488,0.8252595213820666,0.1913266065784984,-0.00869675230175188,39.45889646660001,-13.84060447600019,53.299500942600204,1.3507600494533742,4.660544231252954,8.287402365863732e-08,1.0015532447231654,1.7619905133411702
7701,0.851,0.23,14023.4,0.473,33.88,7925.815389269315,7736.7970043038085,7929.865980987991,39.82618061000001,13.997167408000227,25.829013201999782,0.6485435662267434,6152.123142605925,619.9860461454077,-2.0122349945342206,0.28600000000000003,0.7035709893784238,0.3082740589625929,-0.004350166731566775,3.931418774744453,6402.734848224255,0.6927977678749023,0.31636661748193384,-0.0027036275589082948,39.82618061000001,-13.997167408000227,53.82334801800023,1.3514564337732566,4.565925414386583,4.1112509050956727e-07,0.9945730204010276,1.5990573719470833
7704,0.332,0.23,14779.1,0.209,117.36,8397.984588516703,8218.351861779529,8409.735857877484,41.4689225636,15.588778586000005,25.880143977600003,0.6240852758570752,7454.390504822632,512.4492780411911,-5.051150536430871,0.3030000000000001,0.7839831596944451,0.2343244707780737,-0.010042208580882674,3.8235326855077543,7827.0585029640415,0.7888460677937578,0.2302912074962635,-0.009426563166134551,41.4689225636,-15.588778586000005,57.05770114960001,1.3759147241429248,4.641629876291162,1.3165093437791926e-09,0.9997788397862918,1.7161926864690842
7705,0.843,0.23,16661.0,0.35700000000000004,112.73,9373.601571063211,9081.855600788927,9393.782199809186,58.28336656800001,24.778648035899963,33.504718532100036,0.5748590121850568,8390.96793154701,1009.1426964346753,-3.9515108250763262,0.3540000000000001,0.6647271796030902,0.3475810571003022,-0.005917505364693451,3.2026998458011384,8846.625387396462,0.6615218817335601,0.35289629249739657,-0.003982712311096823,58.28336656800001,-24.778648035899963,83.06201460389997,1.4251409878149432,4.5794432511618535,2.680395390919829e-07,0.9931581976117896,1.5601893357096797
7706,0.826,0.23,13544.7,0.159,120.86,7858.749920194088,7703.987574120666,7877.658963311136,43.814914716000004,16.654713585999907,27.160201130000097,0.6198848338755738,6479.507922820597,728.6592599537001,-2.5305783941367794,0.32,0.680585436707985,0.3327647333614478,-0.00502463966666834,3.576659754756262,6785.3077808033495,0.6709736620284086,0.3388442910107635,-0.003204491414227295,43.814914716000004,-16.654713585999907,60.469628301999904,1.3801151661244262,4.562649532758497,4.805182606436156e-07,0.9950503063367342,1.5738151270838845
7707,0.89,0.23,13883.0,0.325,126.15,7720.88164295821,7506.576189863587,7780.242372063289,52.95760660500002,24.12312588003581,28.834480724964198,0.544482324135883,7280.880609156126,968.7453491634407,-3.565220176467598,0.3880000000000001,0.6431486746408759,0.37205680340934605,-0.005953304015661368,2.94510169164644,7705.434450793997,0.6364895021815077,0.3750743354543633,-0.003833205706756051,52.95760660500002,-24.12312588003581,77.08073248503584,1.4555176758641168,4.558479592034642,1.9534748784776746e-07,0.9955466794907664,1.533971313955148
7708,0.915,0.23,13234.3,0.244,370.02,6881.987571283131,6609.039894650124,6916.496355115854,68.410628933,43.196546439749575,25.214082493250412,0.3685696636109658,8172.2041162172045,1447.9876474169491,-5.6570378390157305,0.5579999999999999,0.5741910607586634,0.4423379918010237,-0.007513644336988813,2.08767504329535,8719.65865482264,0.5675676225613759,0.44674415999690376,-0.005773632028149124,68.410628933,-43.196546439749575,111.60717537274958,1.631430336389034,4.5406861783727885,3.7321408957233206e-07,0.9950199996275151,1.4654405152718135
7709,0.851,0.23,16278.4,0.494,310.81,8284.085279100203,7872.340179988389,8297.257170750492,82.76559098800001,53.65381628759994,29.111774700400076,0.3517376527235929,10196.708840064151,1717.1495102281174,-8.246647685285241,0.575,0.5887168205847503,0.4310490535921795,-0.00900053157659877,2.0675019586352343,10889.159077707429,0.5824747747233067,0.4336696829064144,-0.0076032862315420936,82.76559098800001,-53.65381628759994,136.41940727559995,1.6482623472764069,4.562642947435599,2.5659735612231103e-07,0.9973995130266524,1.4842521761599552
7710,0.547,0.23,14982.8,0.108,344.53,8001.868219320052,7781.273094730855,8009.113712374591,63.10075306900003,34.17156777653003,28.929185292469988,0.4584602225085369,9308.28337979456,1092.0592733364342,-8.085002511455956,0.456,0.6781491872294986,0.34591868034594475,-0.011134740130337963,2.5295570878111593,9929.94834216548,0.6776512703768115,0.3417559954629739,-0.009976481761201906,63.10075306900003,-34.17156777653003,97.27232084553007,1.5415397774914632,4.605978980648149,7.866744771698343e-07,1.001644838807462,1.5875711340084966
7711,0.17600000000000002,0.23,12241.5,0.04,350.02,6383.228590158884,6200.517695094947,6440.445062184193,48.6921739085,27.424878126500047,21.26729578199995,0.4367703077288033,8234.847796860682,711.104278022447,-9.436437445120669,0.456,0.7500119617091519,0.2815905478188224,-0.016246694819322026,2.5138927510739104,8850.230505024867,0.7611917635319684,0.2658951765743852,-0.015802623488295413,48.6921739085,-27.424878126500047,76.11705203500007,1.5632296922711966,4.649801408362602,7.227388666712495e-08,1.007548118288785,1.6873457133603535
